Table ID,Line,Description
B24021, ,"OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER"
B24021, ,"Universe:  Full-time, year-round civilian employed population 16 years and over with earnings"
B24021,1,Total:
B24021,2,"Management, business, science, and arts occupations:"
B24021,3,"Management, business, and financial occupations:"
B24021,4,Management occupations
B24021,5,Business and financial operations occupations
B24021,6,"Computer, engineering, and science occupations:"
B24021,7,Computer and mathematical occupations
B24021,8,Architecture and engineering occupations
B24021,9,"Life, physical, and social science occupations"
B24021,10,"Education, legal, community service, arts, and media occupations:"
B24021,11,Community and social service occupations
B24021,12,Legal occupations
B24021,13,"Education, training, and library occupations"
B24021,14,"Arts, design, entertainment, sports, and media occupations"
B24021,15,Healthcare practitioners and technical occupations:
B24021,16,Health diagnosing and treating practitioners and other technical occupations
B24021,17,Health technologists and technicians 
B24021,18,Service occupations:
B24021,19,Healthcare support occupations
B24021,20,Protective service occupations:
B24021,21,"Fire fighting and prevention, and other protective service workers including supervisors"
B24021,22,Law enforcement workers including supervisors
B24021,23,Food preparation and serving related occupations
B24021,24,Building and grounds cleaning and maintenance occupations
B24021,25,Personal care and service occupations
B24021,26,Sales and office occupations:
B24021,27,Sales and related occupations
B24021,28,Office and administrative support occupations
B24021,29,"Natural resources, construction, and maintenance occupations:"
B24021,30,"Farming, fishing, and forestry occupations"
B24021,31,Construction and extraction occupations
B24021,32,"Installation, maintenance, and repair occupations"
B24021,33,"Production, transportation, and material moving occupations:"
B24021,34,Production occupations
B24021,35,Transportation occupations
B24021,36,Material moving occupations
